wavelength,flux,sigma
14.227953,0.157672,0.002805
14.239426,0.155944,0.002121
14.250896,0.158453,0.002367
14.262365,0.157775,0.002358
14.273833,0.158882,0.002463
14.285313,0.160376,0.002406
14.296789,0.164464,0.002009
14.30825,0.161382,0.003131
14.31971,0.159495,0.002196
14.331167,0.161303,0.002694
14.342623,0.161667,0.002653
14.354076,0.162143,0.002461
14.365528,0.159633,0.003002
14.376977,0.159021,0.002609
14.388425,0.160863,0.002807
14.39987,0.159421,0.002586
14.411314,0.161484,0.002296
14.422756,0.162899,0.002456
14.434196,0.1633,0.002971
14.445634,0.164144,0.003207
14.45707,0.161505,0.003135
14.468504,0.163421,0.002718
14.479937,0.163919,0.003454
14.491125,0.16555,0.002944
14.502553,0.164393,0.002899
14.51398,0.170828,0.004066
14.525404,0.163233,0.003252
14.536826,0.16635,0.003578
14.548246,0.165193,0.003266
14.559665,0.165511,0.07224
14.571081,0.164743,0.003551
14.582496,0.16165,0.070351
14.593908,0.163116,0.044907
14.605075,0.164947,0.003193
14.616484,0.163494,0.002579
14.62789,0.1632,0.025703
14.639295,0.161762,0.002535
14.650697,0.166616,0.002726
14.662098,0.16684,0.002764
14.673496,0.165934,0.002577
14.684894,0.16611,0.00269
14.696289,0.166523,0.002577
14.707682,0.166635,0.002694
14.719073,0.16624,0.002744
14.730462,0.166638,0.002812
14.74185,0.168856,0.002858
14.753235,0.165588,0.002772
14.764618,0.168024,0.002635
14.776001,0.168653,0.002727
14.78738,0.169792,0.002439
14.798758,0.171513,0.002664
14.810133,0.169403,0.002702
14.821507,0.17289,0.002446
14.83288,0.171867,0.002419
14.84425,0.168948,0.002599
14.855618,0.172475,0.002367
14.866984,0.173367,0.002455
14.878349,0.167675,0.00263
14.889711,0.177473,0.002064
14.901073,0.175282,0.002319
14.912432,0.17337,0.002306
14.923788,0.180389,0.002899
14.935143,0.177723,0.002476
14.946496,0.181468,0.002211
14.957848,0.186549,0.002772
14.969196,0.196714,0.002337
14.980544,0.194199,0.0042
14.99189,0.179551,0.003063
15.003233,0.173364,0.00262
15.014575,0.171531,0.00336
15.025915,0.172622,0.003019
15.037252,0.171229,0.002964
15.048589,0.171973,0.003181
15.059923,0.175006,0.003041
15.071256,0.172548,0.003504
15.082586,0.175752,0.003239
15.093915,0.176864,0.003806
15.105242,0.175732,0.00359
15.116566,0.177054,0.003257
15.12789,0.176146,0.003921
15.13921,0.1785,0.003314
15.15053,0.172765,0.004797
15.161847,0.173818,0.003106
15.172903,0.181146,0.002994
15.184216,0.180811,0.003875
15.195528,0.17309,0.003276
15.211985,0.171933,0.004493
15.224035,0.174267,0.004605
15.236382,0.171686,0.00418
15.248726,0.173404,0.004651
15.261067,0.172852,0.004815
15.273407,0.172773,0.005409
15.285789,0.171065,0.004409
15.298124,0.175303,0.004068
15.310159,0.176595,0.003494
15.322489,0.179608,0.005048
15.334818,0.177082,0.002925
15.347145,0.176618,0.003398
15.35947,0.177913,0.003194
15.371793,0.178655,0.003048
15.384113,0.179112,0.003226
15.396431,0.179426,0.003402
15.408748,0.17845,0.003081
15.421062,0.1836,0.002729
15.433374,0.17892,0.002784
15.445684,0.183051,0.002553
15.457993,0.182573,0.002529
15.470299,0.180231,0.00235
15.482602,0.182616,0.002486
15.494904,0.179087,0.0028
15.507204,0.177999,0.002514
15.519501,0.185659,0.002432
15.531797,0.182302,0.002518
15.54409,0.183202,0.002342
15.556381,0.185442,0.002693
15.56867,0.185148,0.002613
15.580958,0.184386,0.002684
15.593243,0.181988,0.002979
15.605526,0.183555,0.002618
15.617499,0.185562,0.00363
15.629778,0.185719,0.003297
15.642055,0.18707,0.003827
15.654329,0.183012,0.004342
15.666601,0.18494,0.00355
15.678919,0.184595,0.00369
15.691188,0.184452,0.003627
15.703454,0.182189,0.003655
15.715718,0.185865,0.003923
15.727981,0.188402,0.003984
15.74024,0.19243,0.00436
15.752186,0.189539,0.003035
15.764441,0.188253,0.003122
15.776695,0.190557,0.003137
15.788947,0.189487,0.002863
15.801196,0.189204,0.00343
15.813444,0.19322,0.003051
15.825689,0.190862,0.002755
15.837933,0.190274,0.002773
15.850174,0.191573,0.002728
15.862413,0.192545,0.002795
15.874651,0.195241,0.002702
15.886887,0.189644,0.002727
15.899118,0.196836,0.002881
15.91135,0.18941,0.002844
15.923578,0.193283,0.00396
15.935806,0.19512,0.00297
15.94803,0.193785,0.003125
15.960254,0.191172,0.003762
15.972475,0.196767,0.003662
15.984694,0.197779,0.003419
15.99691,0.199789,0.00354
16.009125,0.195116,0.003079
