wavelength,flux,sigma
13.36124,0.1995,0.002109
13.371954,0.201016,0.001913
13.382666,0.199222,0.002687
13.393375,0.200125,0.132554
13.404084,0.198943,0.041282
13.414791,0.200668,0.076604
13.425495,0.204373,0.002633
13.436197,0.205757,0.06709
13.446898,0.201189,0.002289
13.45741,0.200883,0.001861
13.468107,0.204586,0.002615
13.478803,0.201568,0.002869
13.489496,0.204008,0.012692
13.500188,0.202192,0.002529
13.510878,0.201811,0.00207
13.521565,0.201824,0.002945
13.532251,0.201835,0.002166
13.542935,0.202631,0.002273
13.553618,0.202162,0.002285
13.564299,0.201813,0.00237
13.574978,0.200646,0.003348
13.585655,0.202391,0.002317
13.596331,0.203971,0.002627
13.607004,0.205389,0.00227
13.617676,0.200609,0.002127
13.628345,0.204747,0.002458
13.639013,0.203248,0.001981
13.649488,0.201247,0.002547
13.660152,0.201333,0.002152
13.670815,0.20189,0.07674
13.681476,0.20477,0.002033
13.692135,0.209172,0.002527
13.702791,0.207092,0.002378
13.713448,0.205411,0.002212
13.7241,0.199888,0.002002
13.734752,0.206451,0.002557
13.745401,0.202757,0.002427
13.75605,0.202635,0.002519
13.766697,0.203032,0.002819
13.777341,0.206687,0.002181
13.787984,0.202728,0.002755
13.798624,0.206223,0.003264
13.809263,0.207388,0.003145
13.819901,0.206173,0.003144
13.830537,0.207043,0.00264
13.841171,0.206167,0.002847
13.851803,0.205149,0.002799
13.862432,0.211681,0.089683
13.873061,0.205611,0.002683
13.883688,0.206116,0.002614
13.894313,0.207717,0.002502
13.904936,0.205826,0.003024
13.915558,0.208412,0.005158
13.926176,0.207652,0.002985
13.936794,0.207042,0.00279
13.947411,0.207787,0.002755
13.958025,0.205697,0.002737
13.968637,0.208015,0.002914
13.979248,0.207335,0.003273
13.989857,0.20995,0.00231
14.000463,0.208246,0.002279
14.011068,0.207426,0.002691
14.021673,0.210016,0.002813
14.032274,0.210487,0.00263
14.042875,0.207469,0.002457
14.053473,0.206208,0.002713
14.06407,0.206888,0.002607
14.074664,0.20405,0.009181
14.085257,0.207492,0.003387
14.095848,0.206277,0.002159
14.106438,0.208061,0.002854
14.117025,0.20756,0.002652
14.127611,0.204818,0.00268
14.138195,0.211987,0.003274
14.148778,0.211261,0.002661
14.159359,0.205254,0.002413
14.169937,0.212291,0.002708
14.180515,0.208416,0.003296
14.191091,0.208942,0.002731
14.205001,0.212728,0.003435
14.216478,0.208896,0.00359
14.227953,0.213659,0.004168
14.239426,0.216186,0.004639
14.250896,0.212146,0.004211
14.262365,0.21002,0.00322
14.273833,0.2098,0.004247
14.285313,0.210049,0.003161
14.296789,0.220976,0.004555
14.30825,0.218604,0.002295
14.31971,0.21793,0.002419
14.331167,0.218183,0.002371
14.342623,0.223904,0.002503
14.354076,0.222086,0.002681
14.365528,0.218776,0.002018
14.376977,0.218082,0.003562
14.388425,0.216786,0.002415
14.39987,0.224258,0.002276
14.411314,0.222523,0.003005
14.422756,0.224945,0.002116
14.434196,0.224109,0.002276
14.445634,0.218711,0.002837
14.45707,0.22012,0.00203
14.468504,0.224022,0.002109
14.479937,0.222523,0.006875
14.491125,0.22154,0.002367
14.502553,0.217618,0.002808
14.51398,0.22736,0.002417
14.525404,0.216966,0.002905
14.536826,0.224446,0.002744
14.548246,0.22019,0.002396
14.559665,0.216415,0.092889
14.571081,0.216863,0.002509
14.582496,0.219431,0.090302
14.593908,0.223419,0.081288
14.605075,0.22237,0.008984
14.616484,0.220654,0.002845
14.62789,0.222017,0.059055
14.639295,0.220477,0.00277
14.650697,0.229165,0.002773
14.662098,0.226614,0.002843
14.673496,0.22199,0.003349
14.684894,0.222988,0.002805
14.696289,0.225231,0.002623
