wavelength,flux,sigma
12.920731,0.191487,0.001706
12.930723,0.18845,0.001832
12.940714,0.189093,0.001512
12.950704,0.192375,0.001872
12.960691,0.187701,0.002847
12.970676,0.190932,0.002237
12.980661,0.18684,0.001776
12.990644,0.188515,0.001413
13.000625,0.182306,0.003001
13.010603,0.189211,0.00255
13.02058,0.18849,0.001549
13.030557,0.189573,0.003793
13.040531,0.188972,0.001965
13.050504,0.18893,0.028367
13.060474,0.184858,0.003088
13.070444,0.185743,0.003381
13.080411,0.187224,0.002064
13.090377,0.18493,0.002658
13.100341,0.186655,0.002279
13.110304,0.181813,0.005666
13.120264,0.187875,0.001971
13.130223,0.187104,0.002192
13.140181,0.187651,0.010387
13.150137,0.189759,0.001662
13.160091,0.18583,0.001694
13.170043,0.188577,0.075905
13.179994,0.184202,0.002507
13.189943,0.186176,0.002942
13.19989,0.182727,0.003664
13.2003,0.186141,0.00246
13.21104,0.194446,0.001878
13.221781,0.193682,0.002188
13.232518,0.196324,0.002124
13.243254,0.188576,0.002265
13.253986,0.19136,0.002563
13.264719,0.193546,0.00232
13.275449,0.193683,0.002067
13.286178,0.193334,0.002444
13.296904,0.187684,0.002436
13.307629,0.188354,0.002166
13.318352,0.194595,0.001954
13.329072,0.198949,0.002494
